date,open,high,low,close,adjclose,volume,ticker
2010-07-17,0.049509998410940004,0.049509998410940004,0.049509998410940004,0.049509998410940004,0.049509998410940004,0,BTC-USD
2010-07-18,0.049509998410940004,0.085850000381469,0.059409998357295005,0.085840001702308,0.085840001702308,5,BTC-USD
2010-07-19,0.085840001702308,0.09307000041007901,0.07722999900579401,0.080799996852874,0.080799996852874,49,BTC-USD
2010-07-20,0.080799996852874,0.081809997558593,0.074259996414184,0.074740000069141,0.074740000069141,20,BTC-USD
2010-07-21,0.074740000069141,0.079209998250007,0.066339999437332,0.079209998250007,0.079209998250007,42,BTC-USD
2010-07-22,0.079209998250007,0.081809997558593,0.05050000175833701,0.05050000175833701,0.05050000175833701,129,BTC-USD
2010-07-23,0.05050000175833701,0.06767000257968901,0.05050000175833701,0.062619999051094,0.062619999051094,141,BTC-USD
2010-07-24,0.062619999051094,0.061609998345375006,0.050489999353885005,0.054540000855922005,0.054540000855922005,26,BTC-USD
2010-07-25,0.054540000855922005,0.059409998357295005,0.05050000175833701,0.05050000175833701,0.05050000175833701,85,BTC-USD
2010-07-26,0.05050000175833701,0.056000001728534005,0.050000000745058004,0.056000001728534005,0.056000001728534005,46,BTC-USD
2010-07-27,0.056000001728534005,0.060499999672174,0.052999999374151,0.05999999865889501,0.05999999865889501,196,BTC-USD
2010-07-28,0.05999999865889501,0.061999998986721004,0.054000001400709007,0.058899998664855006,0.058899998664855006,255,BTC-USD
2010-07-29,0.058899998664855006,0.06989999860525101,0.057100001722574005,0.06989999860525101,0.06989999860525101,528,BTC-USD
2010-07-30,0.06989999860525101,0.06979999691247901,0.058200001716613006,0.062700003385543,0.062700003385543,198,BTC-USD
2010-07-31,0.062700003385543,0.068889997899532,0.056000001728534005,0.06785000115633001,0.06785000115633001,243,BTC-USD
2010-08-01,0.06785000115633001,0.064999997615814,0.05999999865889501,0.06109999865293501,0.06109999865293501,162,BTC-USD
2010-08-02,0.06109999865293501,0.063299998641014,0.05999999865889501,0.05999999865889501,0.05999999865889501,221,BTC-USD
2010-08-03,0.05999999865889501,0.064999997615814,0.059000000357627,0.05999999865889501,0.05999999865889501,606,BTC-USD
2010-08-04,0.05999999865889501,0.062309999018907006,0.057000000029802,0.057000000029802,0.057000000029802,210,BTC-USD
2010-08-05,0.057000000029802,0.061000000685453006,0.057999998331069,0.061000000685453006,0.061000000685453006,303,BTC-USD
2010-08-06,0.061000000685453006,0.062399998307228005,0.06069999933242701,0.062300000339746,0.062300000339746,85,BTC-USD
2010-08-07,0.062300000339746,0.062199998646974,0.059000000357627,0.059000000357627,0.059000000357627,157,BTC-USD
2010-08-08,0.059000000357627,0.061000000685453006,0.059000000357627,0.060899998992681004,0.060899998992681004,132,BTC-USD
2010-08-09,0.060899998992681004,0.07349999994039501,0.05930000171065301,0.07100000232458101,0.07100000232458101,886,BTC-USD
2010-08-10,0.07100000232458101,0.070900000631809,0.06650999933481201,0.070000000298023,0.070000000298023,88,BTC-USD
2010-08-11,0.070000000298023,0.0754100009799,0.05999999865889501,0.06700000166893001,0.06700000166893001,1015,BTC-USD
2010-08-12,0.06700000166893001,0.070000000298023,0.061409998685121,0.070000000298023,0.070000000298023,134,BTC-USD
2010-08-13,0.070000000298023,0.068000003695487,0.06449999660253501,0.06449999660253501,0.06449999660253501,233,BTC-USD
2010-08-14,0.06449999660253501,0.069499999284744,0.06449999660253501,0.06700000166893001,0.06700000166893001,295,BTC-USD
2010-08-15,0.06700000166893001,0.06700000166893001,0.064999997615814,0.06528999656438801,0.06528999656438801,294,BTC-USD
2010-08-16,0.06528999656438801,0.06790000200271601,0.061999998986721004,0.065499998629093,0.065499998629093,696,BTC-USD
2010-08-17,0.065499998629093,0.076899997889995,0.062430001795291006,0.070000000298023,0.070000000298023,915,BTC-USD
2010-08-18,0.070000000298023,0.073299996554851,0.06700000166893001,0.068000003695487,0.068000003695487,203,BTC-USD
2010-08-19,0.068000003695487,0.06790000200271601,0.066699996590614,0.066699996590614,0.066699996590614,50,BTC-USD
2010-08-20,0.066699996590614,0.066699996590614,0.064999997615814,0.065499998629093,0.065499998629093,276,BTC-USD
2010-08-21,0.065499998629093,0.066899999976158,0.064400002360343,0.066399998962879,0.066399998962879,688,BTC-USD
2010-08-22,0.066399998962879,0.066399998962879,0.061200000345706,0.065999999642372,0.065999999642372,1183,BTC-USD
2010-08-23,0.065999999642372,0.066890001296997,0.063000001013278,0.06491000205278301,0.06491000205278301,281,BTC-USD
2010-08-24,0.06491000205278301,0.06650000065565101,0.06491000205278301,0.064999997615814,0.064999997615814,444,BTC-USD
2010-08-25,0.064999997615814,0.06650000065565101,0.064099997282028,0.06480000168085001,0.06480000168085001,278,BTC-USD
2010-08-26,0.06480000168085001,0.065800003707408,0.06400000303983601,0.06400000303983601,0.06400000303983601,251,BTC-USD
2010-08-27,0.06400000303983601,0.064999997615814,0.063000001013278,0.064999997615814,0.064999997615814,583,BTC-USD
2010-08-28,0.064999997615814,0.064999997615814,0.064099997282028,0.064099997282028,0.064099997282028,399,BTC-USD
