,open,high,low,close,adjclose,volume,ticker
2010-06-29,19.0,25.0,17.540000915527344,23.889999389648438,23.889999389648438,18766300,TSLA
2010-06-30,25.790000915527344,30.420000076293945,23.299999237060547,23.829999923706055,23.829999923706055,17187100,TSLA
2010-07-01,25.0,25.920000076293945,20.270000457763672,21.959999084472656,21.959999084472656,8218800,TSLA
2010-07-02,23.0,23.100000381469727,18.709999084472656,19.200000762939453,19.200000762939453,5139800,TSLA
2010-07-06,20.0,20.0,15.829999923706055,16.110000610351562,16.110000610351562,6866900,TSLA
2010-07-07,16.399999618530273,16.6299991607666,14.979999542236328,15.800000190734863,15.800000190734863,6921700,TSLA
2010-07-08,16.139999389648438,17.520000457763672,15.569999694824219,17.459999084472656,17.459999084472656,7711400,TSLA
2010-07-09,17.579999923706055,17.899999618530273,16.549999237060547,17.399999618530273,17.399999618530273,4050600,TSLA
2010-07-12,17.950000762939453,18.06999969482422,17.0,17.049999237060547,17.049999237060547,2202500,TSLA
2010-07-13,17.389999389648438,18.639999389648438,16.899999618530273,18.139999389648438,18.139999389648438,2680100,TSLA
2010-07-14,17.940000534057617,20.149999618530273,17.760000228881836,19.84000015258789,19.84000015258789,4195200,TSLA
2010-07-15,19.940000534057617,21.5,19.0,19.889999389648438,19.889999389648438,3739800,TSLA
2010-07-16,20.700000762939453,21.299999237060547,20.049999237060547,20.639999389648438,20.639999389648438,2621300,TSLA
2010-07-19,21.3700008392334,22.25,20.920000076293945,21.90999984741211,21.90999984741211,2486500,TSLA
2010-07-20,21.850000381469727,21.850000381469727,20.049999237060547,20.299999237060547,20.299999237060547,1825300,TSLA
2010-07-21,20.65999984741211,20.899999618530273,19.5,20.219999313354492,20.219999313354492,1252500,TSLA
2010-07-22,20.5,21.25,20.3700008392334,21.0,21.0,957800,TSLA
2010-07-23,21.190000534057617,21.559999465942383,21.059999465942383,21.290000915527344,21.290000915527344,653600,TSLA
2010-07-26,21.5,21.5,20.299999237060547,20.950000762939453,20.950000762939453,922200,TSLA
2010-07-27,20.90999984741211,21.18000030517578,20.260000228881836,20.549999237060547,20.549999237060547,619700,TSLA
2010-07-28,20.549999237060547,20.899999618530273,20.510000228881836,20.719999313354492,20.719999313354492,467200,TSLA
2010-07-29,20.770000457763672,20.8799991607666,20.0,20.350000381469727,20.350000381469727,616000,TSLA
2010-07-30,20.200000762939453,20.440000534057617,19.549999237060547,19.940000534057617,19.940000534057617,426900,TSLA
2010-08-02,20.5,20.969999313354492,20.329999923706055,20.920000076293945,20.920000076293945,718100,TSLA
2010-08-03,21.0,21.950000762939453,20.81999969482422,21.950000762939453,21.950000762939453,1230500,TSLA
2010-08-04,21.950000762939453,22.18000030517578,20.850000381469727,21.260000228881836,21.260000228881836,913000,TSLA
2010-08-05,21.540000915527344,21.549999237060547,20.049999237060547,20.450000762939453,20.450000762939453,796200,TSLA
2010-08-06,20.100000381469727,20.15999984741211,19.520000457763672,19.59000015258789,19.59000015258789,741900,TSLA
2010-08-09,19.899999618530273,19.979999542236328,19.450000762939453,19.600000381469727,19.600000381469727,812700,TSLA
2010-08-10,19.649999618530273,19.649999618530273,18.81999969482422,19.030000686645508,19.030000686645508,1281300,TSLA
2010-08-11,18.690000534057617,18.8799991607666,17.850000381469727,17.899999618530273,17.899999618530273,797600,TSLA
2010-08-12,17.799999237060547,17.899999618530273,17.389999389648438,17.600000381469727,17.600000381469727,691000,TSLA
2010-08-13,18.18000030517578,18.450000762939453,17.65999984741211,18.31999969482422,18.31999969482422,634000,TSLA
2010-08-16,18.450000762939453,18.799999237060547,18.260000228881836,18.780000686645508,18.780000686645508,485800,TSLA
2010-08-17,18.959999084472656,19.399999618530273,18.780000686645508,19.149999618530273,19.149999618530273,447900,TSLA
2010-08-18,19.59000015258789,19.59000015258789,18.600000381469727,18.770000457763672,18.770000457763672,601300,TSLA
2010-08-19,18.540000915527344,19.25,18.329999923706055,18.790000915527344,18.790000915527344,579100,TSLA
2010-08-20,18.649999618530273,19.110000610351562,18.510000228881836,19.100000381469727,19.100000381469727,296000,TSLA
2010-08-23,19.09000015258789,20.389999389648438,19.0,20.1299991607666,20.1299991607666,1088100,TSLA
2010-08-24,19.25,19.709999084472656,18.950000762939453,19.200000762939453,19.200000762939453,673100,TSLA
2010-08-25,19.15999984741211,19.979999542236328,18.559999465942383,19.899999618530273,19.899999618530273,503300,TSLA
2010-08-26,19.889999389648438,20.270000457763672,19.600000381469727,19.75,19.75,433800,TSLA
2010-08-27,19.75,19.8700008392334,19.5,19.700000762939453,19.700000762939453,379600,TSLA
2010-08-30,19.700000762939453,20.190000534057617,19.610000610351562,19.8700008392334,19.8700008392334,732800,TSLA
2010-08-31,19.65999984741211,19.790000915527344,19.329999923706055,19.479999542236328,19.479999542236328,201100,TSLA
2010-09-01,19.6200008392334,20.690000534057617,19.600000381469727,20.450000762939453,20.450000762939453,494900,TSLA
2010-09-02,20.3700008392334,21.239999771118164,20.309999465942383,21.059999465942383,21.059999465942383,487100,TSLA
2010-09-03,20.8700008392334,21.299999237060547,20.65999984741211,21.049999237060547,21.049999237060547,434600,TSLA
2010-09-07,20.610000610351562,21.0,20.5,20.540000915527344,20.540000915527344,243400,TSLA
2010-09-08,20.65999984741211,20.950000762939453,20.600000381469727,20.899999618530273,20.899999618530273,288400,TSLA
2010-09-09,21.0,21.049999237060547,20.690000534057617,20.709999084472656,20.709999084472656,376200,TSLA
2010-09-10,20.75,20.93000030517578,19.760000228881836,20.170000076293945,20.170000076293945,386600,TSLA
2010-09-13,20.889999389648438,20.899999618530273,20.5,20.719999313354492,20.719999313354492,360800,TSLA
2010-09-14,20.540000915527344,21.600000381469727,20.530000686645508,21.1200008392334,21.1200008392334,654700,TSLA
2010-09-15,20.979999542236328,22.0,20.790000915527344,21.979999542236328,21.979999542236328,684600,TSLA
2010-09-16,22.149999618530273,23.15999984741211,20.84000015258789,20.940000534057617,20.940000534057617,2684500,TSLA
2010-09-17,21.020000457763672,21.31999969482422,19.799999237060547,20.229999542236328,20.229999542236328,1198500,TSLA
2010-09-20,20.670000076293945,21.350000381469727,20.15999984741211,21.059999465942383,21.059999465942383,947500,TSLA
2010-09-21,20.889999389648438,21.549999237060547,20.670000076293945,20.770000457763672,20.770000457763672,796000,TSLA
2010-09-22,20.8700008392334,20.950000762939453,19.799999237060547,19.8700008392334,19.8700008392334,962900,TSLA
2010-09-23,19.889999389648438,20.139999389648438,19.5,19.559999465942383,19.559999465942383,668100,TSLA
2010-09-24,19.950000762939453,20.190000534057617,19.649999618530273,20.100000381469727,20.100000381469727,578900,TSLA
2010-09-27,20.399999618530273,20.809999465942383,20.049999237060547,20.530000686645508,20.530000686645508,418600,TSLA
2010-09-28,21.040000915527344,21.489999771118164,20.760000228881836,21.399999618530273,21.399999618530273,1214500,TSLA
2010-09-29,21.190000534057617,22.030000686645508,21.1299991607666,21.979999542236328,21.979999542236328,1969300,TSLA
2010-09-30,22.0,22.149999618530273,20.190000534057617,20.40999984741211,20.40999984741211,2195800,TSLA
2010-10-01,20.690000534057617,20.75,20.309999465942383,20.600000381469727,20.600000381469727,597700,TSLA
2010-10-04,20.43000030517578,21.170000076293945,20.299999237060547,20.989999771118164,20.989999771118164,643600,TSLA
2010-10-05,21.149999618530273,21.280000686645508,21.010000228881836,21.1200008392334,21.1200008392334,332000,TSLA
2010-10-06,21.059999465942383,21.260000228881836,20.31999969482422,20.459999084472656,20.459999084472656,313400,TSLA
2010-10-07,20.56999969482422,20.639999389648438,20.34000015258789,20.43000030517578,20.43000030517578,141000,TSLA
